"NAME","DESCRIPTION","ADDRESSBLOCKHOUSENUMBER","ADDRESSPOSTALCODE","ADDRESSSTREETNAME","PHOTOURL","LANDXADDRESSPOINT","LANDYADDRESSPOINT","EST_ORIGINAL_COMPLETION_DATE","STATUS","ADDRESSTYPE","HUP_COMPLETION_DATE","ADDRESS_MYENV","Lat","Lng","ICON_NAME","APPROXIMATE_GFA","ADDRESSBUILDINGNAME","AWARDED_DATE","IMPLEMENTATION_DATE","CLEANINGENDDATE","CLEANINGSTARTDATE","INFO_ON_CO_LOCATORS","RNR_STATUS"
"Toa Payoh Lorong 4 Blk 93","HUP Standard Upgrading","93","310093","Lorong 4 Toa Payoh","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154305312.jpg","29802.32","35627.26","19/7/1967","Existing","I","20/7/2009","Blk 93, Lorong 4 Toa Payoh, Singapore 310093","1.3384747524617","103.849513484035","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Toa Payoh Lorong 5 Blk 75","HUP Standard Upgrading","75","310075","Lorong 5 Toa Payoh","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878144152.jpg","30183.83","35357.91","5/2/1968","Existing","I","21/11/2012","Blk 75, Lorong 5 Toa Payoh, Singapore 310075","1.33603882157063","103.852941556275","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre)","HUP Reconfiguration","22","310022","Lorong 7 Toa Payoh","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168256123.jpg","30639.5","35268.64","2/3/1970","Existing","I","16/7/2004","Blk 22, Lorong 7 Toa Payoh, Singapore 310022","1.33523145909678","103.857036007166","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Toa Payoh Lorong 8 Blk 210","HUP Standard Upgrading","210","310210","Lorong 8 Toa Payoh","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876959422.jpg","30345.61","35824.76","27/8/1974","Existing","I","30/9/2011","Blk 210, Lorong 8 Toa Payoh, Singapore 310210","1.3402608349586","103.854395279214","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre)","HUP Standard Upgrading","17","380017","Upper Boon Keng Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226056435.jpg","32262.61","33034.67","28/2/1974","Existing","I","13/1/2009","Blk 17, Upper Boon Keng Road, Singapore 380017","1.31502804429519","103.871620273635","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Upper Cross Street Blk 531A (Hong Lim Food Centre and Market)","HUP Reconfiguration","531A","51531","Upper Cross Street","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878882405.jpg","29391.18","29741.54","28/1/1978","Existing",NA,"9/3/2011","Blk 531A, Upper Cross Street, Singapore 051531","1.28524640047048","103.845818885585","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"West Coast Drive Blk 502 (Ayer Rajah Market)","Not eligible for HUP","502","120502","West Coast Drive","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168297394.jpg","19747.53","32687.74","19/1/1995","Existing","I",NA,"Blk 502, West Coast Drive, Singapore 120502","1.31188972115897","103.759166093858","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"West Coast Drive Blk 503 (Ayer Rajah Food Centre)","HUP Standard Upgrading","503","120503","West Coast Drive","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168322420.jpg","19812.66","32678.15","26/3/1979","Existing","I","15/12/2002","Blk 503, West Coast Drive, Singapore 120503","1.31180301004196","103.759751321019","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre)","HUP Standard Upgrading","90","320090","Whampoa Drive","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154207158.jpg","30428.25","33909.85","26/8/1976","Existing","I","25/10/2007","Blk 90, Whampoa Drive, Singapore 320090","1.32294306204189","103.855137696535","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market)","HUP Standard Upgrading","91/92","320091","Whampoa Drive","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154257763.jpg","30309.21","33962.78","3/1/1973","Existing","I","25/10/2007","Blk 91/92, Whampoa Drive, Singapore 320091/320092","1.32342175143826","103.85406806286","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Yishun Park Hawker Centre","New Centre","51","768867","Yishun Avenue 11","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/yishun-hawker-centre.jpg","29271.88","45196.73","3/7/2017","Existing (new)",NA,NA,"Blk 51, Yishun Avenue 11, Singapore 768867","1.42501763803265","103.844747581861","HC icons_Opt 8.jpg","3364","Yishun Park Hawker Centre","23/10/2015","25/11/2015",NA,NA,NA,NA
"Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre)","HUP Standard Upgrading","104/105","760104","Yishun Ring Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267438077554.jpg","27467.95","45907.73","31/3/1984","Existing","I","4/8/2003","Blk 104/105, Yishun Ring Road, Singapore 760104/760105","1.43144768831222","103.828537609942","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Zion Riverside Food Centre","HUP Standard Upgrading","70","247792","Zion Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267879560483.jpg","27763.03","30526.15","1976","Existing","I","5/3/2003","70, Zion Road, Singapore 247792","1.29234216757957","103.831189303546","HC icons_Opt 8.jpg","1421.31",NA,NA,NA,NA,NA,NA,NA
"Margaret Drive Hawker Centre","New Replacement Centre","38A","142038","Margaret Drive",NA,"24816.7","31094.91","2021","Under Construction",NA,NA,NA,"1.29748567106686","103.804715225285","HC icons_Opt 8.jpg",NA,NA,"11/5/2015","2/12/2015","#N/A","#N/A","hawker centre/branch office/supermarket/shops/flats","#N/A"
"Woodleigh Village Hawker Centre","New Centre","202C","363202","Woodleigh Link",NA,"32314.87","35773.4","2022","Under Construction",NA,NA,NA,"1.3397961360031","103.872090241567","HC icons_Opt 8.jpg",NA,"Woodleigh Village","30/6/2017","21/7/2017","#N/A","#N/A","hawker centre/flats/bus interchange","#N/A"
"Anchorvale Village Hawker Centre","New Centre","339",NA,"Anchorvale Road",NA,"34139.8","42089.26","2022","Under Construction",NA,NA,NA,"1.39691417603694","103.888489618777","HC icons_Opt 8.jpg",NA,"Anchorvale Village","27/4/2018","28/5/2018","#N/A","#N/A","hawker centre/supermarket/shops/flats","#N/A"
"Fernvale Hawker Centre & Market","New Centre","21","797650","Sengkang West Avenue",NA,"32867.9","41500.770000000004","2021","Under Construction",NA,NA,NA,"1.39159232727757","103.877060478847","HC icons_Opt 8.jpg",NA,"Fernvale Hub","30/7/2018","13/8/2018","#N/A","#N/A","hawker centre/community club","#N/A"
"Punggol Town Hub Hawker Centre","New Centre",NA,NA,NA,NA,"35955.520000000004","43336.13","2022","Under Construction",NA,NA,NA,"1.40818996870647","103.904805657576","HC icons_Opt 8.jpg",NA,"Punggol Town Hub","8/8/2018","29/8/2018","#N/A","#N/A","hawker centre/Regional Library/Senior Care Centre/Branch Office/Child Development Centre/Blood Collection Centre/Kidney Dialysis Centre/Childcare Centre","#N/A"
"Punggol Digital District Hawker Centre","New Centre",NA,NA,"Ponggol Seventeenth Avenue",NA,"36339.12","44041.270000000004","2024","Under Construction",NA,NA,NA,"1.41456688638677","103.908252830309","HC icons_Opt 8.jpg",NA,NA,"8/8/2019","21/8/2019","#N/A","#N/A","hawker centre/community club/bus interchange/childcare centre/JTC industrial units","#N/A"
"Senja Hawker Centre","New Centre",NA,NA,"Senja Road",NA,"19981.13","41006.57","2021","Under Construction",NA,NA,NA,"1.38712226320812","103.76126288878","HC icons_Opt 8.jpg",NA,NA,"11/12/2018","1/3/2019","#N/A","#N/A",NA,"#N/A"
"Bukit Batok Hawker Centre","New Centre",NA,NA,"Bukit Batok West Avenue 6",NA,"17817.9","37478.450000000004","2024","Under Construction",NA,NA,NA,"1.35521457121361","103.741825836536","HC icons_Opt 8.jpg",NA,NA,"31/12/2020","21/1/2021","#N/A","#N/A","hawker centre/flats","#N/A"
"Market Street Hawker Centre","New Replacement Centre","50","48940","Market Street",NA,"29874.82","29650.7","2021","Under Construction",NA,NA,NA,"1.2844248503218","103.850164578087","HC icons_Opt 8.jpg",NA,"CapitaSpring","17/7/2017","1/8/2017","#N/A","#N/A","hawker centre/commercial space","#N/A"
"Buangkok Hawker Centre","New Centre",NA,NA,"Sengkang Central",NA,"34575.37","40482.99","2022","Under Construction",NA,NA,NA,"1.38238755827879","103.892403203249","HC icons_Opt 8.jpg",NA,"Sengkang Grand","18/9/2019","29/10/2019","#N/A","#N/A","hawker centre/community club/bus interchange/private residential and commercial units","#N/A"
"Bedok Reservoir Road Blk 630","HUP Rebuilding","630","470630","Bedok Reservoir Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155176127.jpg","36985","35039.64","30/6/1982","Existing","I","28/2/2006","Blk 630, Bedok Reservoir Road, Singapore 470630","1.33315924777343","103.91405388831","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Bedok South Road Blk 16","HUP Standard Upgrading","16","460016","Bedok South Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg","39376.14","33645.7","12/5/1975","Existing","I","20/9/2012","Blk 16, Bedok South Road, Singapore 460016","1.32055216480957","103.93553909635","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Bendemeer Road Blk 29 (Bendemeer Market and Food Centre)","HUP Standard Upgrading","29","330029","Bendemeer Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg","31305.63","33497.85","17/3/1971","Existing","I","31/12/2004","Blk 29, Bendemeer Road, Singapore 330029","1.31921699786807","103.863021377531","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Beo Crescent Market","HUP Standard Upgrading","38A","169982","Beo Crescent","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg","27336.64","30136.920000000002","1965","Existing","I","18/1/2010","38A, Beo Crescent, Singapore 169982","1.28882210205212","103.827358017197","HC icons_Opt 8.jpg","1733.074",NA,NA,NA,NA,NA,NA,NA
"Berseh Food Centre","HUP Standard Upgrading","166","208877","Jalan Besar","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg","30619.27","32184.16","1975","Existing","I","5/3/2004","166, Jalan Besar, Singapore 208877","1.30733651651517","103.856853966617","HC icons_Opt 8.jpg","2568.95",NA,NA,NA,NA,NA,NA,NA
"Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village)","HUP Reconfiguration","221A/B","641221","Boon Lay Place","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154766447.jpg","14587.57","36373.79","2/1/1976","Existing","I","1/8/2004","Blk 221A/B, Boon Lay Place, Singapore 641221/642221","1.3452231627967","103.712799765872","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market)","HUP Standard Upgrading","665","210665","Buffalo Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg","29915.58","32059.13","31/10/1980","Existing","I","30/6/2009","Blk 665, Buffalo Road, Singapore 210665","1.30620584090733","103.850530969624","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre)","Opted out of HUP","163","150163","Bukit Merah Central","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg","26183.03","29569.73","5/5/1980","Existing","I",NA,"Blk 163, Bukit Merah Central, Singapore 150163","1.28369258928085","103.816992390295","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre)","HUP Standard Upgrading","120","150120","Bukit Merah Lane 1","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg","24791.54","29857.81","14/9/1978","Existing","I","15/11/2010","Blk 120, Bukit Merah Lane, Singapore 150120","1.28629777221659","103.804489277779","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre)","HUP Standard Upgrading","115","151115","Bukit Merah View","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg","26745.83","29770.11","29/3/1973","Existing","I","28/2/2012","Blk 115, Bukit Merah View, Singapore 151115","1.28550478314618","103.822049361292","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Bukit Panjang Hawker Centre","New Centre","2","679947","Bukit Panjang Ring Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg","21230.49","39953.67","31/7/2015","Existing (new)",NA,NA,"2 Bukit Panjang Ring Road, Singapore 679947","1.37760053528611","103.772489583206","HC icons_Opt 8.jpg","4500",NA,NA,NA,NA,NA,NA,NA
"Bukit Canberra Hawker Centre","New Centre",NA,NA,NA,NA,"26784.850000000002","47872.53","2022","Under Construction",NA,NA,NA,"1.44921660555282","103.822399230842","HC icons_Opt 8.jpg",NA,"Bukit Canberra","1/5/2018","17/5/2018","#N/A","#N/A","hawker centre/Town Sports and Recreational Centre/Primary Care Centre & Senior Care Centre","#N/A"
"Market Street Interim Hawker Centre","Interim Centre","5","48418","Cross Street","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262225979894.jpg","29742.29","29337.86","24/5/2017","Existing",NA,NA,"5, Cross Street, Singapore 048148","1.28159564281228","103.848973726501","HC icons_Opt 8.jpg","1817.18","Market Street Interim Hawker Centre",NA,NA,NA,NA,NA,NA
"Marsiling Lane Blk 20/21","HUP Standard Upgrading","20/21","730020","Marsiling Lane","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152527264.jpg","21755.23","47282.71","15/9/1975","Existing","I","2/3/2009","Blk 20/21, Marsiling Lane, Singapore 730020/730021","1.44388181695611","103.777203165702","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Marsiling Mall Hawker Centre","New Replacement Centre","4","738623","Woodlands Street 12","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg","22042.510000000002","46139.03","8/11/2017","Existing (new)",NA,NA,"Blk 4,Woodlands St 12,Singapore 738623","1.43353885680037","103.779784899996","HC icons_Opt 8.jpg","3661","Marsiling Mall","4/9/2015","1/1/2016",NA,NA,"hawker centre/supermarket/shops",NA
"Maxwell Food Centre (Kim Hua Market)","Upgraded prior to HUP","1","69184","Kadayanallur Street","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155734465.jpg","29280.89","29173.83","1935","Existing","I",NA,"1, Kadayanallur Street, Singapore 069184","1.28011223513205","103.844827863123","HC icons_Opt 8.jpg","3365.392",NA,NA,NA,NA,NA,NA,NA
"Mei Chin Road Blk 159 (Mei Chin Road Market)","HUP Reconfiguration","159","140159","Mei Chin Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg","24615.11","30625.03","12/10/1970","Existing","I","8/5/2009","Blk 159, Mei Chin Road, Singapore 140159","1.29323622090658","103.802903901116","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"New Market Road Blk 32 (People's Park Food Centre)","HUP Standard Upgrading","32","50032","New Market Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168123284.jpg","29030.58","29713.3","1965","Existing","I","27/12/2005","Blk 32, New Market Road, Singapore 050032","1.28499102169498","103.842578750107","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"New Upper Changi Road Blk 208B","New Replacement Centre","208B","462208","New Upper Changi Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bedok-interchange-hawker-centre.jpg","38822.05","34108.62","15/11/2014","Existing","I",NA,"Blk 208B, New Upper Changi Road, Singapore 462208","1.32473884451035","103.93056047823","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"New Upper Changi Road Blk 58","HUP Standard Upgrading","58","461058","New Upper Changi Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153263293.jpg","39998.6","34047.74","27/2/1978","Existing","I","16/9/2008","Blk 58, New Upper Changi Road, Singapore 461058","1.32418782817919","103.941132372619","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Newton Food Centre","HUP Standard Upgrading","500","229495","Clemenceau Ave North","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155777485.jpg","28694.91","32687.91","1971","Existing","I","12/6/2006","500, Clemenceau Ave North, Singapore 229495","1.31189235691653","103.839562687644","HC icons_Opt 8.jpg","3252.75",NA,NA,NA,NA,NA,NA,NA
"North Bridge Road Market","HUP Reconfiguration","861","198783","North Bridge Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155297184.jpg","31402.43","32010.440000000002","1973","Existing","I","17/10/2005","861, North Bridge Road, Singapore 198783","1.30576537802761","103.863891012338","HC icons_Opt 8.jpg","3004.63",NA,NA,NA,NA,NA,NA,NA
"Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall)","HUP Standard Upgrading","51","390051","Old Airport Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153198645.jpg","33844.39","32285.39","17/2/1973","Existing","I","12/6/2007","Blk 51, Old Airport Road, Singapore 390051","1.30825156309798","103.885833217727","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Our Tampines Hub","New Centre","1","528523","Tampines Walk","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg","39841.96","37328.97","6/8/2016","Existing (new)",NA,NA,"1 Tampines Walk, Singapore 528523","1.35386211773287","103.939726160039","HC icons_Opt 8.jpg","2241","Our Tampines Hub","7/5/2014","1/8/2013",NA,NA,"hawker centre/ community club  offices/regional library/heritage centre/swimming complex/sports facilities/branch hawker centre/office/national arts council/hometeam ns clubhouse/family medical centre/senior care centre",NA
"Pasir Panjang Food Centre","HUP Standard Upgrading","121","118543","Pasir Panjang Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155813373.jpg","23335.09","28708.93","1978","Existing","I","20/5/2002","121, Pasir Panjang Road, Singapore 118543","1.27590752450201","103.791402660553","HC icons_Opt 8.jpg","1115.71",NA,NA,NA,NA,NA,NA,NA
"Pasir Ris Central Hawker Centre","New Centre","110","519641","Pasir Ris Central","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/pasir-ris-central-hawker-centre.jpg","41156.94","39493.21","16/10/2017","Existing (new)",NA,NA,"Blk 110, Pasir Ris Central, Singapore 519641","1.37343413973246","103.951543034782","HC icons_Opt 8.jpg","4771","Pasir Ris Central Hawker Centre","15/7/2015","29/7/2015",NA,NA,NA,NA
"Queen Street Blk 270 (Albert Centre)","HUP Standard Upgrading","270","180270","Queen Street","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267850253199.jpg","30325.21","31483.66","7/8/1978","Existing","I","26/11/2009","Blk 270, Queen Street, Singapore 180270","1.30100146521405","103.854211645499","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Adam Road Food Centre","HUP Standard Upgrading","2","289876","Adam Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg","25868.4","34041.56","1974","Existing","I","30/4/2002","2, Adam Road, Singapore 289876","1.32413422253318","103.814165010384","HC icons_Opt 8.jpg","941.5",NA,NA,NA,NA,NA,NA,NA
"Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre)","HUP Standard Upgrading","117","380117","Aljunied Ave 2","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg","33976.33","33656.16","15/9/1978","Existing","I","30/11/2005","Blk 117, Aljunied Ave 2, Singapore 380117","1.32064829234987","103.88701902611","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Amoy Street Food Centre (Telok Ayer Food Centre)","HUP Standard Upgrading",NA,"69111","Telok Ayer Street","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg","29478.87","29075","1983","Existing","I","17/2/2003","National Development Building, Annex B, Telok Ayer Street, Singapore 069111","1.27921844263269","103.846606784092","HC icons_Opt 8.jpg","3539","National Development Building",NA,NA,NA,NA,NA,NA
"Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre)","HUP Standard Upgrading","226D","564226","Ang Mo Kio Ave 1","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg","28658.02","38757.950000000004","13/10/1976","Existing","I","20/1/2010","Blk 226D, Ang Mo Kio Ave 1, Singapore 564226","1.36678764523637","103.839231344066","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court)","HUP Rebuilding","341","560341","Ang Mo Kio Ave 1","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg","29662.16","38461.340000000004","1979","Existing","I","1/3/2002","Blk 341, Ang Mo Kio Ave 1, Singapore 560341","1.36410517096399","103.848254220438","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square)","HUP Standard Upgrading","409","560409","Ang Mo Kio Ave 10","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg","30454.04","38313.590000000004","31/7/1979","Existing","I","28/11/2011","Blk 409, Ang Mo Kio Ave 10, Singapore 560409","1.36276891777383","103.855369790045","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre)","HUP Standard Upgrading","453A","561453","Ang Mo Kio Ave 10","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg","30563.28","38918.61","11/4/1979","Existing","I","1/1/2002","Blk 453A, Ang Mo Kio Ave 10, Singapore 561453","1.36824049310006","103.856351437414","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre)","HUP Reconfiguration","527","560527","Ang Mo Kio Ave 10","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg","30355.32","39419.450000000004","24/12/1979","Existing","I","21/2/2004","Blk 527, Ang Mo Kio Ave 10, Singapore 560527","1.37276992816898","103.854482811591","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market)","HUP Standard Upgrading","160/162","560160","Ang Mo Kio Ave 4","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg","28656.12","39609.54","30/6/1981","Existing","I","31/12/2008","Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162","1.37448912101909","103.839214290038","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market)","HUP Rebuilding","628","560628","Ang Mo Kio Ave 4","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg","28819.49","40332.23","31/12/1979","Existing","I","16/12/2009","Blk 628, Ang Mo Kio Ave 4, Singapore 560628","1.38102486670548","103.840682307297","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market)","HUP Reconfiguration","724","560724","Ang Mo Kio Ave 6","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155216756.jpg","29469.07","39356.14","31/1/1980","Existing","I","2/1/2008","Blk 724, Ang Mo Kio Ave 6, Singapore 560724","1.37219743270045","103.846519219268","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre)","HUP Reconfiguration","226H","568226","Ang Mo Kio Street 22","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg","28738.350000000002","38806.88","30/9/1976","Existing","I","13/12/2003","Blk 226H, Ang Mo Kio Street 22, Singapore 568226","1.36723014879667","103.839953165936","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Bedok Food Centre","HUP Rebuilding","1","469572","Bedok Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg","41594.72","33624.11","1971","Existing","I","6/2/2005","1, Bedok Road, Singapore 469572","1.32035600765426","103.955474150677","HC icons_Opt 8.jpg","1081.18",NA,NA,NA,NA,NA,NA,NA
"Bedok North Street 1 Blk 216","HUP Standard Upgrading","216","460216","Bedok North Street 1","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg","39118.19","34365.56","21/8/1979","Existing","I","15/12/2008","Blk 216, Bedok North Street 1, Singapore 460216","1.32706240888967","103.933221544751","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
