"NAME","DESCRIPTION","ADDRESSBLOCKHOUSENUMBER","ADDRESSPOSTALCODE","ADDRESSSTREETNAME","PHOTOURL","LANDXADDRESSPOINT","LANDYADDRESSPOINT","EST_ORIGINAL_COMPLETION_DATE","STATUS","ADDRESSTYPE","HUP_COMPLETION_DATE","ADDRESS_MYENV","Lat","Lng","ICON_NAME","APPROXIMATE_GFA","ADDRESSBUILDINGNAME","AWARDED_DATE","IMPLEMENTATION_DATE","CLEANINGENDDATE","CLEANINGSTARTDATE","INFO_ON_CO_LOCATORS","RNR_STATUS"
"Commonwealth Crescent Market","HUP Rebuilding","31","149644","Commonwealth Crescent","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167388780.jpg","24332.33","32135.05","1965","Existing","I","18/8/2004","31, Commonwealth Crescent, Singapore 149644","1.3068922760844","103.800362825517","HC icons_Opt 8.jpg","3040.58",NA,NA,NA,NA,NA,NA,NA
"Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre)","HUP Standard Upgrading","1A/2A/3A","141001","Commonwealth Drive","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/commonwealth.jpg","24055.5","31341.24","16/11/1981","Existing","I","15/1/2010","Blk 1A/ 2A/ 3A, Commonwealth Drive, Singapore 140001/140002/140003","1.29971330531884","103.797875477439","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Dunman Food Centre","HUP Standard Upgrading","271","424768","Onan Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155459807.jpg","35624.14","32413.99","1974","Existing","I","3/12/2002","271, Onan Road, Singapore 424768","1.30941418731185","103.90182514721","HC icons_Opt 8.jpg","984",NA,NA,NA,NA,NA,NA,NA
"East Coast Lagoon Food Village","HUP Rebuilding","1220","468960","East Coast Parkway","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155504536.jpg","39318.07","32112.260000000002","1978","Existing","I","10/12/2003","1220, East Coast Parkway, Singapore 468960","1.30668431820832","103.935016747249","HC icons_Opt 8.jpg","3600.16",NA,NA,NA,NA,NA,NA,NA
"Empress Road Blk 7 (Empress Road Market and Food Centre)","HUP Standard Upgrading","7","260007","Empress Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152572393.jpg","24919.24","33169.3","26/3/1976","Existing","I","2/12/2008","Blk 7, Empress Road, Singapore 260007","1.31624573118373","103.805636386821","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Eunos Crescent Blk 4A","HUP Standard Upgrading","4A","402004","Eunos Crescent","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267873497497.jpg","35895.18","33621.21","7/7/2000","Existing","I","30/3/2012","Blk 4A, Eunos Crescent, Singapore 402004","1.32033178221424","103.904260878989","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre)","Opted out of HUP","69","330069","Geylang Bahru","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-69-geylang-bahru.jpg","32082.77","33746.13","16/1/1974","Existing","I",NA,"Blk 69, Geylang Bahru, Singapore 330069","1.32146226027018","103.870004415152","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Geylang Serai Market","HUP Rebuilding",NA,"402001","Geylang Serai","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155542468.jpg","35223.38","33222.72","3/7/2009","Existing","I","3/7/2009","1, Geylang Serai, Singapore 402001","1.3167281476983","103.898224315881","HC icons_Opt 8.jpg","11534.9",NA,NA,NA,NA,NA,NA,NA
"Ghim Moh Road Blk 20","Opted out of HUP","20","270020","Ghim Moh Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848628803.jpg","22982.14","32588.87","24/1/1977","Existing","I",NA,"Blk 20, Ghim Moh Road, Singapore 270020","1.31099627311591","103.788230657145","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Golden Mile Food Centre","HUP Standard Upgrading","505","199583","Beach Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155571228.jpg","31401.57","31690.89","1975","Existing","I","4/7/2002","505, Beach Road, Singapore 199583","1.30287548090781","103.863883249985","HC icons_Opt 8.jpg","6249.229",NA,NA,NA,NA,NA,NA,NA
